sample_index,sample_id,relative_path,x_start,x_end,y_start,y_end,z_start,z_end,width_x,width_y,thickness_z,top_depth_m,bottom_depth_m,width_x_m,width_y_m,thickness_z_m,center_x_m,center_y_m,center_depth_m,density_contrast,body_volume_cells,body_size_group,density_group,gravity_minimum_mgal,gravity_maximum_mgal,gravity_mean_mgal,gravity_std_mgal
1003,prime_001003,samples/prime_001003.npz,8,12,35,49,6,11,4,14,5,60.0,110.0,40.0,140.0,50.0,95.0,415.0,85.0,0.5568068211521144,280,small,medium,0.00017246149946004152,0.11412101238965988,0.00760067580267787,0.016074007377028465
1004,prime_001004,samples/prime_001004.npz,8,18,30,37,2,4,10,7,2,20.0,40.0,100.0,70.0,20.0,125.0,330.0,30.0,0.9622222218569562,140,small,high,7.20718817319721e-05,0.36648187041282654,0.007921974174678326,0.03387737274169922
1005,prime_001005,samples/prime_001005.npz,14,20,14,28,4,12,6,14,8,40.0,120.0,60.0,140.0,80.0,165.0,205.0,80.0,0.806287530721442,672,large,high,0.0006754041532985866,0.45650410652160645,0.027698596939444542,0.060682956129312515
1006,prime_001006,samples/prime_001006.npz,34,50,10,22,5,9,16,12,4,50.0,90.0,160.0,120.0,40.0,415.0,155.0,70.0,0.9038100855711738,768,large,high,0.0007647440652363002,0.5038315653800964,0.03639185428619385,0.0780380368232727
1007,prime_001007,samples/prime_001007.npz,41,51,39,53,6,12,10,14,6,60.0,120.0,100.0,140.0,60.0,455.0,455.0,90.0,0.9579967413911097,840,large,high,0.0010698667028918862,0.4886645972728729,0.03967016935348511,0.07551578432321548
1008,prime_001008,samples/prime_001008.npz,18,30,32,36,8,10,12,4,2,80.0,100.0,120.0,40.0,20.0,235.0,335.0,90.0,0.8523096454427302,96,small,high,0.00018524476035963744,0.05530157685279846,0.004170693922787905,0.007866306230425835
1009,prime_001009,samples/prime_001009.npz,14,28,41,56,3,8,14,15,5,30.0,80.0,140.0,150.0,50.0,205.0,480.0,55.0,0.2929991415718163,1050,large,low,0.0002570660726632923,0.2756708860397339,0.016810283064842224,0.04169818386435509
1010,prime_001010,samples/prime_001010.npz,10,25,22,33,5,9,15,11,4,50.0,90.0,150.0,110.0,40.0,170.0,270.0,70.0,0.24855785933625396,660,large,low,0.00021950522204861045,0.12667644023895264,0.008688616566359997,0.01886081136763096
1011,prime_001011,samples/prime_001011.npz,44,54,19,34,7,15,10,15,8,70.0,150.0,100.0,150.0,80.0,485.0,260.0,110.0,0.5535951715612762,1200,large,medium,0.0012207645922899246,0.29859596490859985,0.031033024191856384,0.05035185068845749
1012,prime_001012,samples/prime_001012.npz,15,24,17,27,7,11,9,10,4,70.0,110.0,90.0,100.0,40.0,190.0,215.0,90.0,0.9358415940001354,360,medium,high,0.000521316600497812,0.22443455457687378,0.016866842284798622,0.03246225416660309
1013,prime_001013,samples/prime_001013.npz,9,25,16,24,2,8,16,8,6,20.0,80.0,160.0,80.0,60.0,165.0,195.0,50.0,0.8386159127411674,768,large,high,0.000496362685225904,0.8063569664955139,0.03582007437944412,0.10280860960483551
1014,prime_001014,samples/prime_001014.npz,24,35,20,24,2,4,11,4,2,20.0,40.0,110.0,40.0,20.0,290.0,215.0,30.0,0.27285480305034476,88,small,low,1.7023257896653377e-05,0.07580133527517319,0.0014268840895965695,0.006303509697318077
1015,prime_001015,samples/prime_001015.npz,38,46,10,25,4,8,8,15,4,40.0,80.0,80.0,150.0,40.0,415.0,170.0,60.0,0.5874473742193588,480,medium,medium,0.00027881190180778503,0.2895840108394623,0.015292131341993809,0.03840529918670654
1016,prime_001016,samples/prime_001016.npz,33,40,31,40,4,6,7,9,2,40.0,60.0,70.0,90.0,20.0,360.0,350.0,50.0,0.4184522122716511,126,small,low,7.268472836585715e-05,0.088221974670887,0.002989862347021699,0.009155902080237865
1017,prime_001017,samples/prime_001017.npz,9,20,51,55,4,9,11,4,5,40.0,90.0,110.0,40.0,50.0,140.0,525.0,65.0,0.8413245219616124,220,small,high,0.00013527326518669724,0.23195107281208038,0.009538800455629826,0.0260815117508173
1018,prime_001018,samples/prime_001018.npz,36,47,38,48,2,5,11,10,3,20.0,50.0,110.0,100.0,30.0,410.0,425.0,35.0,0.8341090563155775,330,medium,high,0.00017968627798836678,0.517622709274292,0.016090139746665955,0.05768829956650734
1019,prime_001019,samples/prime_001019.npz,43,48,36,46,4,11,5,10,7,40.0,110.0,50.0,100.0,70.0,450.0,405.0,75.0,0.8121163115438548,350,medium,high,0.0003666913544293493,0.30462646484375,0.014861886389553547,0.03547568991780281
1020,prime_001020,samples/prime_001020.npz,14,29,11,18,4,8,15,7,4,40.0,80.0,150.0,70.0,40.0,210.0,140.0,60.0,0.29424337063299616,420,medium,low,0.00011004559200955555,0.1306809037923813,0.006650406867265701,0.01703956164419651
1021,prime_001021,samples/prime_001021.npz,20,31,24,33,4,7,11,9,3,40.0,70.0,110.0,90.0,30.0,250.0,280.0,55.0,0.32467566754433114,297,medium,low,0.0001366743672406301,0.12240263819694519,0.005391985177993774,0.014666327275335789
1022,prime_001022,samples/prime_001022.npz,30,46,16,30,5,10,16,14,5,50.0,100.0,160.0,140.0,50.0,375.0,225.0,75.0,0.6825575882909376,1120,large,medium,0.001256679417565465,0.48743322491645813,0.0403343141078949,0.07926477491855621
1023,prime_001023,samples/prime_001023.npz,9,13,26,38,6,9,4,12,3,60.0,90.0,40.0,120.0,30.0,105.0,315.0,75.0,0.5574380891941977,144,small,medium,0.00010203249985352159,0.07380567491054535,0.004099179524928331,0.00946805626153946
1024,prime_001024,samples/prime_001024.npz,9,13,35,44,4,6,4,9,2,40.0,60.0,40.0,90.0,20.0,105.0,390.0,50.0,0.8325549807622046,72,small,high,4.307350536691956e-05,0.1131971925497055,0.0032998425886034966,0.010808407329022884
1025,prime_001025,samples/prime_001025.npz,10,24,21,32,7,9,14,11,2,70.0,90.0,140.0,110.0,20.0,165.0,260.0,80.0,0.40212166318034814,308,medium,low,0.00018048222409561276,0.08230151981115341,0.006361211650073528,0.012628014199435711
1026,prime_001026,samples/prime_001026.npz,23,35,32,47,6,9,12,15,3,60.0,90.0,120.0,150.0,30.0,285.0,390.0,75.0,0.72159640602387,540,medium,medium,0.0007380273891612887,0.2669760584831238,0.02064930833876133,0.04130300134420395
1027,prime_001027,samples/prime_001027.npz,34,42,31,43,5,10,8,12,5,50.0,100.0,80.0,120.0,50.0,375.0,365.0,75.0,0.5021424905943472,480,medium,medium,0.0004464377707336098,0.21039386093616486,0.012795372866094112,0.027909642085433006
1028,prime_001028,samples/prime_001028.npz,18,32,33,40,5,12,14,7,7,50.0,120.0,140.0,70.0,70.0,245.0,360.0,85.0,0.48670422890822235,686,large,medium,0.0006850999197922647,0.2413686066865921,0.017249664291739464,0.03416996821761131
1029,prime_001029,samples/prime_001029.npz,18,28,22,29,3,9,10,7,6,30.0,90.0,100.0,70.0,60.0,225.0,250.0,60.0,0.6448553201083318,420,medium,medium,0.00034864398185163736,0.37495893239974976,0.014899013563990593,0.041111189872026443
1030,prime_001030,samples/prime_001030.npz,27,39,31,45,6,8,12,14,2,60.0,80.0,120.0,140.0,20.0,325.0,375.0,70.0,0.3439583370821535,336,medium,low,0.0002300132910022512,0.08827123790979385,0.006219448521733284,0.013130972161889076
1031,prime_001031,samples/prime_001031.npz,33,46,25,36,7,10,13,11,3,70.0,100.0,130.0,110.0,30.0,390.0,300.0,85.0,0.8841351640422483,429,medium,high,0.0008448890876024961,0.24009107053279877,0.019594425335526466,0.03679719567298889
1032,prime_001032,samples/prime_001032.npz,8,23,8,16,5,7,15,8,2,50.0,70.0,150.0,80.0,20.0,150.0,115.0,60.0,0.46453174007539383,240,small,low,7.964881660882384e-05,0.11176257580518723,0.005869790446013212,0.015046987682580948
1033,prime_001033,samples/prime_001033.npz,41,48,26,31,2,5,7,5,3,20.0,50.0,70.0,50.0,30.0,440.0,280.0,35.0,0.7161077659718758,105,small,medium,5.530738053494133e-05,0.252495676279068,0.004403238650411367,0.019225237891077995
1034,prime_001034,samples/prime_001034.npz,44,53,14,22,5,9,9,8,4,50.0,90.0,90.0,80.0,40.0,480.0,175.0,70.0,0.876581250515031,288,small,high,0.00024480774300172925,0.2639133036136627,0.013146666809916496,0.0322558656334877
1035,prime_001035,samples/prime_001035.npz,13,22,22,34,4,10,9,12,6,40.0,100.0,90.0,120.0,60.0,170.0,275.0,70.0,0.20211627583430702,648,large,low,0.00017616688273847103,0.12458985298871994,0.006952424068003893,0.016285112127661705
1036,prime_001036,samples/prime_001036.npz,28,43,27,37,3,7,15,10,4,30.0,70.0,150.0,100.0,40.0,350.0,315.0,50.0,0.41303857882550377,600,large,low,0.00040282061672769487,0.28435859084129333,0.014056910760700703,0.03792063146829605
1037,prime_001037,samples/prime_001037.npz,28,37,18,24,3,7,9,6,4,30.0,70.0,90.0,60.0,40.0,320.0,205.0,50.0,0.24196179520610173,216,small,low,6.273557664826512e-05,0.09625469148159027,0.0029505786951631308,0.009397598914802074
1038,prime_001038,samples/prime_001038.npz,40,50,20,34,6,8,10,14,2,60.0,80.0,100.0,140.0,20.0,445.0,265.0,70.0,0.4781738103943833,280,small,medium,0.0001850424741860479,0.10879147797822952,0.007121023256331682,0.015586672350764275
1039,prime_001039,samples/prime_001039.npz,17,23,30,46,5,7,6,16,2,50.0,70.0,60.0,160.0,20.0,195.0,375.0,60.0,0.9339444854938453,192,small,high,0.00021400724654085934,0.18404895067214966,0.009816400706768036,0.02422712929546833
1040,prime_001040,samples/prime_001040.npz,13,24,22,33,6,13,11,11,7,60.0,130.0,110.0,110.0,70.0,180.0,270.0,95.0,0.4781917297537388,847,large,medium,0.0007447634707204998,0.24267448484897614,0.020083287730813026,0.03673088178038597
1041,prime_001041,samples/prime_001041.npz,27,35,33,48,6,10,8,15,4,60.0,100.0,80.0,150.0,40.0,305.0,400.0,80.0,0.20700114319050958,480,medium,low,0.00020490704628173262,0.07041343301534653,0.0051949601620435715,0.01034475676715374
1042,prime_001042,samples/prime_001042.npz,10,19,17,29,3,5,9,12,2,30.0,50.0,90.0,120.0,20.0,140.0,225.0,40.0,0.7119966195493076,216,small,medium,9.539124584989622e-05,0.2561725676059723,0.008791480213403702,0.029242921620607376
1043,prime_001043,samples/prime_001043.npz,20,31,36,50,4,11,11,14,7,40.0,110.0,110.0,140.0,70.0,250.0,425.0,75.0,0.6529811468337905,1078,large,medium,0.0010618185624480247,0.5431856513023376,0.0370442233979702,0.07894560694694519
1044,prime_001044,samples/prime_001044.npz,40,56,21,33,3,6,16,12,3,30.0,60.0,160.0,120.0,30.0,475.0,265.0,45.0,0.2546713788659654,576,large,low,0.00011988249752903357,0.15900950133800507,0.008299042470753193,0.02283591777086258
1045,prime_001045,samples/prime_001045.npz,15,19,18,25,5,10,4,7,5,50.0,100.0,40.0,70.0,50.0,165.0,210.0,75.0,0.5915555018692672,140,small,medium,9.806624439079314e-05,0.09335852414369583,0.004303449299186468,0.010432429611682892
1046,prime_001046,samples/prime_001046.npz,29,39,23,28,4,6,10,5,2,40.0,60.0,100.0,50.0,20.0,335.0,250.0,50.0,0.6426216319653307,100,small,medium,8.671176328789443e-05,0.11117207258939743,0.003641746239736676,0.01126119401305914
1047,prime_001047,samples/prime_001047.npz,12,17,44,49,6,9,5,5,3,60.0,90.0,50.0,50.0,30.0,140.0,460.0,75.0,0.8263141982377232,75,small,high,6.157591269584373e-05,0.06764017790555954,0.0031659365631639957,0.007745508104562759
1048,prime_001048,samples/prime_001048.npz,44,48,29,44,6,8,4,15,2,60.0,80.0,40.0,150.0,20.0,455.0,360.0,70.0,0.5817617114926605,120,small,medium,9.430482896277681e-05,0.06327203661203384,0.0037082911003381014,0.008433186449110508
1049,prime_001049,samples/prime_001049.npz,8,24,15,30,5,13,16,15,8,50.0,130.0,160.0,150.0,80.0,155.0,220.0,90.0,0.7226920677817201,1920,large,medium,0.001975451596081257,0.7197647094726562,0.06854639202356339,0.12374207377433777
1050,prime_001050,samples/prime_001050.npz,33,39,22,30,4,10,6,8,6,40.0,100.0,60.0,80.0,60.0,355.0,255.0,70.0,0.3223216834312804,288,small,low,0.00016525512910448015,0.11386725306510925,0.004999819677323103,0.012449509464204311
1051,prime_001051,samples/prime_001051.npz,45,49,24,38,5,13,4,14,8,50.0,130.0,40.0,140.0,80.0,465.0,305.0,90.0,0.6425748692234464,448,medium,medium,0.0005216735880821943,0.20707160234451294,0.014451319351792336,0.028584295883774757
1052,prime_001052,samples/prime_001052.npz,19,28,42,54,6,8,9,12,2,60.0,80.0,90.0,120.0,20.0,230.0,475.0,70.0,0.7503146758760283,216,small,high,0.00018508147331885993,0.14462628960609436,0.008523747324943542,0.019559159874916077
1053,prime_001053,samples/prime_001053.npz,50,55,10,20,7,15,5,10,8,70.0,150.0,50.0,100.0,80.0,520.0,145.0,110.0,0.2800003633742383,400,medium,low,0.0001393662387272343,0.06078497692942619,0.004972513765096664,0.009157293476164341
1054,prime_001054,samples/prime_001054.npz,29,33,21,36,5,11,4,15,6,50.0,110.0,40.0,150.0,60.0,305.0,280.0,80.0,0.8360426443536768,360,medium,high,0.0007390054524876177,0.24010545015335083,0.015826432034373283,0.03268469125032425
1055,prime_001055,samples/prime_001055.npz,39,55,23,34,2,10,16,11,8,20.0,100.0,160.0,110.0,80.0,465.0,280.0,60.0,0.4902067333969213,1408,large,medium,0.0008013620972633362,0.6504465937614441,0.03758710250258446,0.09337156265974045
1056,prime_001056,samples/prime_001056.npz,11,16,19,25,5,12,5,6,7,50.0,120.0,50.0,60.0,70.0,130.0,215.0,85.0,0.7922125845715349,210,small,high,0.000202975730644539,0.15952496230602264,0.008293002843856812,0.018705865368247032
1057,prime_001057,samples/prime_001057.npz,31,47,36,40,8,15,16,4,7,80.0,150.0,160.0,40.0,70.0,385.0,375.0,115.0,0.2828011413980125,448,medium,low,0.00032892313902266324,0.055039409548044205,0.0060207657516002655,0.009127944707870483
1058,prime_001058,samples/prime_001058.npz,22,28,17,32,3,5,6,15,2,30.0,50.0,60.0,150.0,20.0,245.0,240.0,40.0,0.3245218968314996,180,small,low,5.2508534281514585e-05,0.09772246330976486,0.003384093288332224,0.011041833087801933
1059,prime_001059,samples/prime_001059.npz,37,42,28,35,7,9,5,7,2,70.0,90.0,50.0,70.0,20.0,390.0,310.0,80.0,0.6919529117954775,70,small,medium,0.00010398266022093594,0.044371750205755234,0.0025400337763130665,0.005499080289155245
1060,prime_001060,samples/prime_001060.npz,31,38,47,51,8,10,7,4,2,80.0,100.0,70.0,40.0,20.0,340.0,485.0,90.0,0.7150595941818789,56,small,medium,6.539806054206565e-05,0.030227571725845337,0.001993115060031414,0.004019747022539377
1061,prime_001061,samples/prime_001061.npz,23,37,26,32,4,8,14,6,4,40.0,80.0,140.0,60.0,40.0,295.0,285.0,60.0,0.7229995057411331,336,medium,medium,0.00044538313522934914,0.27847662568092346,0.013443554751574993,0.03421737253665924
1062,prime_001062,samples/prime_001062.npz,37,53,39,53,5,8,16,14,3,50.0,80.0,160.0,140.0,30.0,445.0,455.0,65.0,0.2850702734835559,672,large,low,0.00019231849000789225,0.1394037902355194,0.010185055434703827,0.022220999002456665
1063,prime_001063,samples/prime_001063.npz,25,36,38,43,5,8,11,5,3,50.0,80.0,110.0,50.0,30.0,300.0,400.0,65.0,0.7360389540936889,165,small,high,0.0002002602122956887,0.14033353328704834,0.006612457800656557,0.016542920842766762
1064,prime_001064,samples/prime_001064.npz,30,39,25,33,6,10,9,8,4,60.0,100.0,90.0,80.0,40.0,340.0,285.0,80.0,0.4191267884924507,288,small,low,0.0002855491766240448,0.10220816731452942,0.006348934955894947,0.013356827199459076
1065,prime_001065,samples/prime_001065.npz,32,40,19,34,4,7,8,15,3,40.0,70.0,80.0,150.0,30.0,355.0,260.0,55.0,0.667390133672844,360,medium,medium,0.0003481495368760079,0.268584281206131,0.01343502290546894,0.03483586385846138
1066,prime_001066,samples/prime_001066.npz,37,49,29,36,7,15,12,7,8,70.0,150.0,120.0,70.0,80.0,425.0,320.0,110.0,0.7189837668354161,672,large,medium,0.0012354743666946888,0.24444352090358734,0.023195799440145493,0.03791747987270355
1067,prime_001067,samples/prime_001067.npz,34,42,19,26,8,12,8,7,4,80.0,120.0,80.0,70.0,40.0,375.0,220.0,100.0,0.9193464954545522,224,small,high,0.00043225238914601505,0.12398310005664825,0.010164985433220863,0.01803557202219963
1068,prime_001068,samples/prime_001068.npz,14,28,44,52,6,10,14,8,4,60.0,100.0,140.0,80.0,40.0,205.0,475.0,80.0,0.28971122360128687,448,medium,low,0.00015778656234033406,0.09504561126232147,0.0066031175665557384,0.01373971626162529
1069,prime_001069,samples/prime_001069.npz,18,27,9,17,2,4,9,8,2,20.0,40.0,90.0,80.0,20.0,220.0,125.0,30.0,0.6548980457410258,144,small,medium,4.138949225307442e-05,0.25679323077201843,0.005533902440220118,0.02372417226433754
1070,prime_001070,samples/prime_001070.npz,13,18,11,21,5,9,5,10,4,50.0,90.0,50.0,100.0,40.0,150.0,155.0,70.0,0.5154471017625106,200,small,medium,9.47644148254767e-05,0.1128007024526596,0.005341482814401388,0.01337055116891861
1071,prime_001071,samples/prime_001071.npz,24,35,34,40,8,12,11,6,4,80.0,120.0,110.0,60.0,40.0,290.0,365.0,100.0,0.2868348984418285,264,small,low,0.0002060077531496063,0.04361674189567566,0.0037727628368884325,0.006512634921818972
1072,prime_001072,samples/prime_001072.npz,31,44,22,38,7,9,13,16,2,70.0,90.0,130.0,160.0,20.0,370.0,295.0,80.0,0.482696806799301,416,medium,medium,0.0004488187551032752,0.11934998631477356,0.010523997247219086,0.019543547183275223
1073,prime_001073,samples/prime_001073.npz,14,18,31,35,7,15,4,4,8,70.0,150.0,40.0,40.0,80.0,155.0,325.0,110.0,0.4614426597004657,128,small,low,0.00012445163156371564,0.03590011969208717,0.002791095059365034,0.004929895047098398
1074,prime_001074,samples/prime_001074.npz,18,31,33,46,8,15,13,13,7,80.0,150.0,130.0,130.0,70.0,240.0,390.0,115.0,0.862634330213214,1183,large,high,0.002495984546840191,0.4132894277572632,0.04830709472298622,0.07187983393669128
1075,prime_001075,samples/prime_001075.npz,15,20,11,24,2,8,5,13,6,20.0,80.0,50.0,130.0,60.0,170.0,170.0,50.0,0.9850181866700167,390,medium,high,0.00027911103097721934,0.6402506232261658,0.02132810279726982,0.06771095842123032
1076,prime_001076,samples/prime_001076.npz,32,48,25,29,8,12,16,4,4,80.0,120.0,160.0,40.0,40.0,395.0,265.0,100.0,0.8112943733759931,256,small,high,0.00047506531700491905,0.10890650749206543,0.010274091735482216,0.017274795100092888
1077,prime_001077,samples/prime_001077.npz,9,13,18,26,6,9,4,8,3,60.0,90.0,40.0,80.0,30.0,105.0,215.0,75.0,0.3699096764516803,96,small,low,3.5767621739069e-05,0.0370304174721241,0.0018012771615758538,0.004365312866866589
1078,prime_001078,samples/prime_001078.npz,29,40,33,43,4,9,11,10,5,40.0,90.0,110.0,100.0,50.0,340.0,375.0,65.0,0.8148094062967379,550,medium,high,0.0007845100481063128,0.46195411682128906,0.02444610558450222,0.059051770716905594
1079,prime_001079,samples/prime_001079.npz,9,20,10,17,3,11,11,7,8,30.0,110.0,110.0,70.0,80.0,140.0,130.0,70.0,0.6174468615860297,616,large,medium,0.0003186174144502729,0.42881476879119873,0.01949249766767025,0.05070686712861061
1080,prime_001080,samples/prime_001080.npz,42,52,36,51,3,11,10,15,8,30.0,110.0,100.0,150.0,80.0,465.0,430.0,70.0,0.5037660732250984,1200,large,medium,0.0006552425329573452,0.5202310681343079,0.0317654088139534,0.07344360649585724
1081,prime_001081,samples/prime_001081.npz,30,42,17,23,3,11,12,6,8,30.0,110.0,120.0,60.0,80.0,355.0,195.0,70.0,0.9615004216915212,576,large,high,0.0008060014806687832,0.6255039572715759,0.02959064394235611,0.07320273667573929
1082,prime_001082,samples/prime_001082.npz,18,32,12,28,2,4,14,16,2,20.0,40.0,140.0,160.0,20.0,245.0,195.0,30.0,0.2029622849775967,448,medium,low,5.36222432856448e-05,0.11258583515882492,0.005382875446230173,0.016935328021645546
1083,prime_001083,samples/prime_001083.npz,23,27,20,33,4,6,4,13,2,40.0,60.0,40.0,130.0,20.0,245.0,260.0,50.0,0.6404228778570233,104,small,medium,7.923148950794712e-05,0.10345815122127533,0.003767423564568162,0.011221340857446194
1084,prime_001084,samples/prime_001084.npz,38,52,39,50,7,15,14,11,8,70.0,150.0,140.0,110.0,80.0,445.0,440.0,110.0,0.9516413343752944,1232,large,high,0.002018381841480732,0.5286128520965576,0.05486396327614784,0.08900400251150131
1085,prime_001085,samples/prime_001085.npz,31,40,29,36,8,11,9,7,3,80.0,110.0,90.0,70.0,30.0,350.0,320.0,95.0,0.8241440573353443,189,small,high,0.00045526635949499905,0.0991116613149643,0.007879100739955902,0.014268322847783566
1086,prime_001086,samples/prime_001086.npz,40,49,35,50,8,12,9,15,4,80.0,120.0,90.0,150.0,40.0,440.0,420.0,100.0,0.7351187270137041,540,medium,high,0.0006720208912156522,0.19847054779529572,0.01925516128540039,0.03269874304533005
1087,prime_001087,samples/prime_001087.npz,25,38,41,49,8,14,13,8,6,80.0,140.0,130.0,80.0,60.0,310.0,445.0,110.0,0.23025223561453048,624,large,low,0.000342724088113755,0.06743109971284866,0.006851727142930031,0.010961824096739292
1088,prime_001088,samples/prime_001088.npz,36,47,30,40,6,13,11,10,7,60.0,130.0,110.0,100.0,70.0,410.0,345.0,95.0,0.41931189430157256,770,large,low,0.0007072258158586919,0.198705792427063,0.016192583367228508,0.02944369800388813
1089,prime_001089,samples/prime_001089.npz,33,37,45,52,2,7,4,7,5,20.0,70.0,40.0,70.0,50.0,345.0,480.0,45.0,0.23669778675322795,140,small,low,2.7651218260871246e-05,0.09274719655513763,0.0018790086032822728,0.007164991460740566
1090,prime_001090,samples/prime_001090.npz,41,50,44,52,7,9,9,8,2,70.0,90.0,90.0,80.0,20.0,450.0,475.0,80.0,0.6122693044553202,144,small,medium,0.00010008487879531458,0.07263858616352081,0.004463828634470701,0.009715168736875057
1091,prime_001091,samples/prime_001091.npz,29,37,14,20,2,4,8,6,2,20.0,40.0,80.0,60.0,20.0,325.0,165.0,30.0,0.7584199118463472,96,small,high,4.5140252041164786e-05,0.24838890135288239,0.004308927338570356,0.019725454971194267
1092,prime_001092,samples/prime_001092.npz,37,42,28,35,8,15,5,7,7,80.0,150.0,50.0,70.0,70.0,390.0,310.0,115.0,0.4814552715763313,245,small,medium,0.0003533495182637125,0.06007014960050583,0.005635334178805351,0.008998564444482327
1093,prime_001093,samples/prime_001093.npz,23,37,40,50,2,5,14,10,3,20.0,50.0,140.0,100.0,30.0,295.0,445.0,35.0,0.7084623350017087,420,medium,medium,0.00022595596965402365,0.4731610119342804,0.017407935112714767,0.058493223041296005
1094,prime_001094,samples/prime_001094.npz,38,44,41,56,8,15,6,15,7,80.0,150.0,60.0,150.0,70.0,405.0,480.0,115.0,0.4300172198918393,630,large,low,0.00048278988106176257,0.11787749826908112,0.012410929426550865,0.019764699041843414
1095,prime_001095,samples/prime_001095.npz,34,46,30,37,8,12,12,7,4,80.0,120.0,120.0,70.0,40.0,395.0,330.0,100.0,0.7119173247434812,336,medium,medium,0.000606818706728518,0.13272976875305176,0.011869367212057114,0.020331332460045815
1096,prime_001096,samples/prime_001096.npz,12,28,25,32,6,8,16,7,2,60.0,80.0,160.0,70.0,20.0,195.0,280.0,70.0,0.6751465853427112,224,small,medium,0.00022622256074100733,0.12407168745994568,0.008062224835157394,0.017658961936831474
1097,prime_001097,samples/prime_001097.npz,45,49,43,47,8,16,4,4,8,80.0,160.0,40.0,40.0,80.0,465.0,445.0,120.0,0.3088602890717249,128,small,low,6.826368917245418e-05,0.0198843851685524,0.0017856818158179522,0.0029567002784460783
1098,prime_001098,samples/prime_001098.npz,39,54,21,34,8,15,15,13,7,80.0,150.0,150.0,130.0,70.0,460.0,270.0,115.0,0.46418405118217637,1365,large,low,0.0013563530519604683,0.24658726155757904,0.029475124552845955,0.044185128062963486
1099,prime_001099,samples/prime_001099.npz,12,19,20,36,7,12,7,16,5,70.0,120.0,70.0,160.0,50.0,150.0,275.0,95.0,0.8024636461781237,560,medium,high,0.0007598039810545743,0.2484043836593628,0.022032350301742554,0.03948186710476875
1100,prime_001100,samples/prime_001100.npz,29,36,12,19,4,11,7,7,7,40.0,110.0,70.0,70.0,70.0,320.0,150.0,75.0,0.2994122874846888,343,medium,low,0.00015029730275273323,0.1150955930352211,0.00535499956458807,0.013014410622417927
1101,prime_001101,samples/prime_001101.npz,10,24,42,56,7,10,14,14,3,70.0,100.0,140.0,140.0,30.0,165.0,485.0,85.0,0.45941852783952275,588,large,low,0.0003062790201511234,0.15460830926895142,0.013302179984748363,0.025479760020971298
1102,prime_001102,samples/prime_001102.npz,34,46,10,22,6,10,12,12,4,60.0,100.0,120.0,120.0,40.0,395.0,155.0,80.0,0.41372642167665263,576,large,low,0.00031410984229296446,0.16661876440048218,0.012174800969660282,0.024820134043693542
1103,prime_001103,samples/prime_001103.npz,17,23,36,48,2,5,6,12,3,20.0,50.0,60.0,120.0,30.0,195.0,415.0,35.0,0.7747655282452639,216,small,high,0.00010427778761368245,0.38278791308403015,0.00977214053273201,0.037400100380182266
1104,prime_001104,samples/prime_001104.npz,36,41,19,24,8,13,5,5,5,80.0,130.0,50.0,50.0,50.0,380.0,210.0,105.0,0.33637812296689545,125,small,low,8.79245635587722e-05,0.02517862059175968,0.0020425969269126654,0.0035816337913274765
1105,prime_001105,samples/prime_001105.npz,33,38,40,45,2,6,5,5,4,20.0,60.0,50.0,50.0,40.0,350.0,420.0,40.0,0.7079096151071825,100,small,medium,6.349029717966914e-05,0.23744262754917145,0.004101448226720095,0.017102526500821114
1106,prime_001106,samples/prime_001106.npz,35,43,23,31,4,9,8,8,5,40.0,90.0,80.0,80.0,50.0,385.0,265.0,65.0,0.9082416872298225,320,medium,high,0.0004521289374679327,0.36322760581970215,0.015830226242542267,0.040705420076847076
1107,prime_001107,samples/prime_001107.npz,37,41,36,50,4,6,4,14,2,40.0,60.0,40.0,140.0,20.0,385.0,425.0,50.0,0.7953287557500592,112,small,high,8.913910278351977e-05,0.13220281898975372,0.005013023503124714,0.014766432344913483
1108,prime_001108,samples/prime_001108.npz,27,42,8,14,8,15,15,6,7,80.0,150.0,150.0,60.0,70.0,340.0,105.0,115.0,0.9203451175711717,630,large,high,0.0010462894570082426,0.25228750705718994,0.026078851893544197,0.04245063662528992
1109,prime_001109,samples/prime_001109.npz,33,40,43,55,6,8,7,12,2,60.0,80.0,70.0,120.0,20.0,360.0,485.0,70.0,0.7780656023021382,168,small,high,0.00016040646005421877,0.123194120824337,0.006877208594232798,0.01606738194823265
1110,prime_001110,samples/prime_001110.npz,38,51,9,16,4,6,13,7,2,40.0,60.0,130.0,70.0,20.0,440.0,120.0,50.0,0.7202034072266688,182,small,medium,8.745118248043582e-05,0.18181872367858887,0.0072082290425896645,0.021406123414635658
1111,prime_001111,samples/prime_001111.npz,41,56,8,18,3,11,15,10,8,30.0,110.0,150.0,100.0,80.0,480.0,125.0,70.0,0.8089820027042964,1200,large,high,0.0008266554214060307,0.835422694683075,0.04969886317849159,0.11837431788444519
1112,prime_001112,samples/prime_001112.npz,33,37,17,27,7,15,4,10,8,70.0,150.0,40.0,100.0,80.0,345.0,215.0,110.0,0.942899626777401,320,medium,high,0.0007410014513880014,0.1661091446876526,0.01452206913381815,0.02431105636060238
1113,prime_001113,samples/prime_001113.npz,12,16,32,48,4,11,4,16,7,40.0,110.0,40.0,160.0,70.0,135.0,395.0,75.0,0.6794805604344083,448,medium,medium,0.00035270291846245527,0.26738062500953674,0.01569967530667782,0.03555573150515556
